0.0171;30.50 -23.48 18.12 0.07
0.0151;35.20 -27.84 18.32 0.06
0.0171;30.50 -23.48 18.12 0.07
0.0149;18.68 -11.48 18.20 0.13
0.0135;12.80 -5.81 18.08 0.23
0.0126;29.94 -22.98 18.12 0.06
0.0122;27.59 -20.51 18.14 0.07
0.0117;22.80 -15.69 18.18 0.10
0.0114;18.19 -11.37 18.00 0.11
0.0108;21.14 -14.02 18.16 0.11
0.0104;36.99 -30.00 18.10 0.05
0.0103;18.85 -11.84 18.10 0.12
0.0101;22.63 -15.65 18.08 0.09
0.0099;32.14 -25.10 18.12 0.06
-----------New run started - 2018-03-16 17:00:18.703521 +0100 CET m=+0.010590223 ------------0.0174;51.21 -43.38 18.52 0.05 0.000 0.0 0.00
0.0150;30.28 -22.44 18.54 0.09 0.000 0.0 0.00
0.0104;25.89 -19.04 18.04 0.07 0.000 0.0 0.00
-----------New run started - 2018-03-19 15:29:42.157475 +0100 CET m=+0.018996227 -----------------------New run started - 2018-03-19 15:29:49.561987 +0100 CET m=+0.012887401 ------------0.0065;26.21 -17.89 18.72 0.16 0.000 0.0 0.00
0.0061;14.70 -7.84 18.08 0.23 0.000 0.0 0.00
0.0048;9.71 -3.49 17.48 0.21 0.000 0.0 0.00
0.0047;8.63 -2.42 17.50 0.35 0.000 0.0 0.00
-----------New run started - 2018-03-19 15:30:45.419856 +0100 CET m=+0.012843663 ------------0.0046;7.91 -1.56 17.42 0.39 0.000 0.0 0.00
0.0044;8.81 -2.55 17.44 0.24 0.000 0.0 0.00
-----------New run started - 2018-03-19 15:41:05.016829 +0100 CET m=+0.048163544 -----------------------New run started - 2018-03-19 16:09:17.768596 +0100 CET m=+0.048950859 ------------0.0458;24.22 -16.53 18.74 0.53 0.000 0.0 0.00
0.0380;81.07 -69.10 19.20 0.17 0.000 0.0 0.00
0.0284;28.48 -27.51 17.66 0.11 0.000 0.0 0.00
-----------New run started - 2018-03-19 16:09:37.695668 +0100 CET m=+0.049575576 ------------0.0240;42.92 -42.03 17.52 0.05 0.000 0.0 0.00
0.0236;24.48 -23.86 17.52 0.10 0.000 0.0 0.00
0.0236;23.73 -23.11 17.54 0.11 0.000 0.0 0.00
-----------New run started - 2018-03-20 09:29:45.316402 +0100 CET m=+0.006134126 ------------0.0036;30.52 -7.21 15.60 0.40 0.000 0.0 0.00
0.0031;25.31 -4.05 14.74 0.52 0.000 0.0 0.00
0.0030;49.90 -25.77 15.76 0.15 0.000 0.0 0.00
0.0030;31.01 -7.36 15.66 0.43 0.000 0.0 0.00
-----------New run started - 2018-03-20 09:33:02.524594 +0100 CET m=+0.005858354 ------------0.0139;38.17 -15.55 15.74 0.12 0.000 0.0 0.00
0.0107;27.58 -6.85 14.56 0.48 0.000 0.0 0.00
0.0042;39.27 -15.39 15.64 0.24 0.000 0.0 0.00
0.0036;33.24 -11.94 14.74 0.20 0.000 0.0 0.00
0.0034;49.81 -27.49 15.10 0.12 0.000 0.0 0.00
0.0034;82.62 -58.76 15.58 0.07 0.000 0.0 0.00
0.0032;46.76 -23.07 15.70 0.15 0.000 0.0 0.00
0.0032;45.45 -21.45 15.78 0.17 0.000 0.0 0.00
